i 	x 		y ( numérico ) 	y ( exato ) 
1 	 0.100000 	 0.381966 	 0.367879 
2 	 0.200000 	 0.145898 	 0.135335 
3 	 0.300000 	 0.055728 	 0.049787 
4 	 0.400000 	 0.021286 	 0.018316 
5 	 0.500000 	 0.008131 	 0.006738 
6 	 0.600000 	 0.003106 	 0.002479 
7 	 0.700000 	 0.001186 	 0.000912 
8 	 0.800000 	 0.000453 	 0.000335 
9 	 0.900000 	 0.000173 	 0.000123 
10 	 1.000000 	 0.000066 	 0.000045 
11 	 1.100000 	 0.000025 	 0.000017 
12 	 1.200000 	 0.000010 	 0.000006 
13 	 1.300000 	 0.000004 	 0.000002 
14 	 1.400000 	 0.000002 	 0.000001 
15 	 1.500000 	 0.000001 	 0.000000 
16 	 1.600000 	 0.000001 	 0.000000 
17 	 1.700000 	 0.000003 	 0.000000 
18 	 1.800000 	 0.000007 	 0.000000 
19 	 1.900000 	 0.000017 	 0.000000 
